,name,username,label,category,post_activity,fan_count,talking_about_count,users_can_post
498,12442500122,verizon,Verizon,Company,0.02,7469362,38471,yes
638,9.50E+14,Villagergoods,Villager,Food & Beverage Company,0,5934,58,yes
1053,1.18E+11,VillanovaAthletics,Villanova University Athletics,School Sports Team,0.12,20945,969,yes
1090,12860591250,VillanovaU,Villanova University,College & University,0.13,65211,3028,yes
936,1.47E+14,vincentkompany,Vincent Kompany,Athlete,0.01,3153148,4837,yes
480,89562268312,VinDiesel,Vin Diesel,Artist,0.01,99132429,47288,no
1088,50719463053,virginiatech,Virginia Tech,School,0.07,199255,4097,no
300,1.22E+11,Visitportugal,Visit Portugal,Tourist Information Center,0.16,1403125,32503,yes
85,1.06E+11,VitalBMX,Vital BMX,Recreation & Sports Website,0.11,335585,3412,yes
70,50540568485,vitaminwater,vitaminwater,Food & Beverage Company,0,3951284,428,yes
51,5.32E+14,VoxxLife,VoxxLife,Apparel & Clothing,0,6524,92,yes
788,1.04E+11,waleofficial,Wale,Musician/Band,0.06,4066933,11454,yes
477,47657117525,warriors,Golden State Warriors,Sports Team,0.17,11320200,49793,no
880,51931324907,WashingtonHuskies,Washington Athletics,School Sports Team,0.04,228784,3235,no
279,1.81E+14,wavesforwater,Waves For Water,Nonprofit Organization,0.02,48628,85,yes
8,2.45E+14,WayneRooney,Wayne Rooney,Athlete,0.02,24998822,47488,no
182,1.76E+15,WayneRooneyFoundation,Wayne Rooney Foundation,Nonprofit Organization,0.01,74756,40,yes
470,1.63E+14,WBCBOXING,World Boxing Council,Sports League,0.2,905035,5396,yes
127,1.25E+14,wbf,World Basketball Festival,Company,0,117863,40,yes
581,3.53E+14,wearedelasoul,De La Soul,Musician/Band,0.01,1035405,4434,yes
930,3.53E+14,WesleySneijder,Wesley Sneijder,Athlete,0.01,5012032,2880,no
1011,1.50E+15,WessyWes2,Wesley Matthews,Athlete,0,153175,397,no
983,29805028740,Wizards,Washington Wizards,Sports Team,0.24,1529974,8349,yes
500,30116744273,WKYC.Channel3,WKYC Channel 3 - Cleveland,Broadcasting & Media Production Company,2.53,396303,76763,yes
1119,22858084279,wnba,WNBA,Sports League,0.34,1104922,20238,no
142,3.56E+14,WomanWithDrive,Woman With Drive,Website,0,10839,3,yes
69,1.56E+14,woodwardwest,Woodward West,Sports & Recreation,0.01,47383,80,yes
81,1.63E+11,woozy.bmx.magazine,WOOZY BMX MAGAZINE,Media/News Company,0.02,288466,139,yes
131,5.36E+14,world.dance.wonderland,Dance Wonderland,Fictional Character,0,224607,181,yes
625,2.15E+11,WorldNewsTonight,ABC World News Tonight with David Muir,TV Show,1.7,3191005,196275,no
879,1.55E+11,WSUCougars,Washington State University Athletics,School Sports Team,0.03,110600,1279,yes
151,26081741101,WTA,WTA,Sports League,1.03,2135573,28005,no
853,1.49E+14,WVUFootball,WVU Football,School Sports Team,0.64,309695,66525,yes
1098,28580386540,wvumountaineers,West Virginia University,College & University,0.05,279307,11821,yes
196,7175346442,wwe,WWE,Sports League,0.95,39255197,861321,no
195,1.14E+14,WWERaw,WWE Raw,TV Show,0.28,13735093,127494,no
1101,5826202566,xavieruniversity,Xavier University,School,0.01,76520,1071,yes
384,2.94E+14,xdubai,XDubai,Sports Promoter,0.03,98754,172,yes
83,1.02E+11,XGames,X Games,Sports Event,0.09,5363400,5276,yes
52,1.12E+11,xyience,XYIENCE,Food & Beverage Company,0.02,44017,327,yes
624,7040724713,yahoo,Yahoo,News & Media Website,2.48,15459127,800196,no
623,3.38E+11,yahoonews,Yahoo News,News & Media Website,3.15,7734246,488529,yes
826,79332913550,yalebulldogs,Yale Athletics,School Sports Team,0.02,11122,104,yes
545,39523792780,Yankees,New York Yankees,Sports Team,0.19,8646098,186538,yes
931,1.45E+14,yannmvila,Yann M'Vila,Athlete,0,319317,117,no
386,3.11E+11,YasLinksGolfClub,Yas Links Abu Dhabi Golf Club,Golf Course & Country Club,0.07,5637,513,yes
468,3.55E+11,yasmarinacircuit,Yas Marina Circuit,Marina,0.13,535283,4616,yes
985,3.47E+14,ygtrece,Paul George,Athlete,0.02,3396767,1358,yes
593,2.21E+14,younessamraniofficial,Youness Amrani,Athlete,0,38967,15,yes
233,1.83E+14,youngy18,Ashley Young,Athlete,0.01,2488099,1280,no
578,3.08E+14,yurifacchini,Yuri Facchini,Athlete,0,30895,16,yes
491,74443359354,YuriFans,Yuri Foreman,Athlete,0,7718,3,yes
153,3.02E+14,ZELARestaurants,ZELA Restaurants,Restaurant,0.02,5698,182,yes
499,2.04E+14,ZipsMBB,Akron Zips Men's Basketball,School Sports Team,0.01,7579,38,yes
197,1.99E+14,ZlatanIbrahimovic,Zlatan Ibrahimović,Athlete,0.02,26501562,148646,no
378,2.37E+14,zozimusbar,Zozimus Bar,Cocktail Bar,0.04,37785,667,yes
